year,quantity_gold,gold_price_nominal,quantity_gold_ton,CPI_guyana,gold_price_real,CPI_USA,gold_price_real_USCPI
1990,38716,383.6,1.209875,28.4161016,1349.938867,59.91976049,640.1894748
1991,59296,362.3,1.853,30.55494795,1185.732669,62.45734075,580.0759296
1992,79582,344,2.4869375,32.85478275,1047.031729,64.34906098,534.5843354
1993,310000,359.8,9.6875,35.32772338,1018.46359,66.24842452,543.1072551
1994,410000,384.2,12.8125,37.98679934,1011.403979,67.9758135,565.2010329
1995,289517,384.1,9.04740625,42.62518747,901.1104064,69.88282035,549.6343709
1996,386002,387.9,12.0625625,45.64932174,849.7388026,71.93122852,539.2650842
1997,434710,331.3,13.5846875,47.2724614,700.8308648,73.61275761,450.0578579
1998,434035,294.1,13.56359375,49.44059684,594.8552784,74.75543306,393.4162214
1999,414905,278.6,12.96578125,53.16753751,524.0039563,76.39110227,364.70216
2000,434892,279.1,13.590375,56.43656659,494.5375257,78.97072076,353.4221257
2001,455919,271,14.24746875,57.91938835,467.8916814,81.20256846,333.733286
2002,453481,309.7,14.17128125,61.0128717,507.5978091,82.49046688,375.4373223
2003,391323,363.3,12.22884375,64.66203822,561.8443371,84.36307882,430.6386219
2004,368506,409.2,11.5158125,67.68076363,604.6031074,86.62167812,472.3990679
2005,267666,444.5,8.3645625,72.36802404,614.2215514,89.56053237,496.3123691
2006,182216,603.8,5.69425,77.20015128,782.1228197,92.44970508,653.1118725
2007,238298,695.4,7.4468125,86.61868897,802.8290526,95.08699238,731.3303141
2008,261425,872,8.16953125,93.63655427,931.26024,98.73747739,883.1499681
2009,299822,972.4,9.3694375,96.40098716,1008.703364,98.38641997,988.3477824
2010,308438,1224.5,9.6386875,100,1224.5,100,1224.5
2011,363083,1571.5,11.34634375,104.9777356,1496.984089,103.1568416,1523.40841
2012,438645,1669,13.70765625,107.4887351,1552.720849,105.2915045,1585.123137
2013,481087,1411.2,15.03396875,109.5323666,1288.386295,106.8338489,1320.929663
2014,387506,1266.4,12.1095625,110.466273,1146.413259,108.5669321,1166.469362
2015,451058,1160.1,14.0955625,109.3596944,1060.811304,108.695722,1067.291315
2016,712706,1250.8,22.2720625,110.2739502,1134.266069,110.0670089,1136.398647
2017,653753,1257.2,20.42978125,112.3742898,1118.761242,112.4115573,1118.390342
2018,613073,1268.5,19.15853125,113.8158754,1114.51939,115.1573032,1101.536737
2019,641828,1392.6,20.057125,116.1914755,1198.538872,117.2441955,1187.777352
2020,585433,1769.6,18.29478125,117.3456485,1508.023538,118.6905016,1490.936492
